bird id,sex,treatment,march.date,YEAR,units,active.over.30
C1P9008,m,mel,22,2011,mins,5
C2L6833,m,mel,31,2011,mins,8
C2L6938,m,cont,28,2011,mins,9
C1P9008,m,mel,23,2011,mins,10
C1P9008,m,mel,27,2011,mins,10
C2L6833,m,mel,28,2011,mins,10
C2L6938,m,cont,27,2011,mins,10
C2V1002,m,cont,26,2011,mins,10
C2V1002,m,cont,32,2011,mins,10
C2V1005,m,cont,28,2011,mins,10
C1P9008,m,mel,25,2011,mins,11
C2L6833,m,mel,18,2011,mins,11
C2L6847,m,mel,27,2011,mins,11
C1P9008,m,mel,29,2011,mins,12
C2L6833,m,mel,27,2011,mins,12
C2V0034,m,mel,18,2011,mins,12
C2V0034,m,mel,22,2011,mins,12
C2V1005,m,cont,33,2011,mins,12
C2V1009,m,mel,39,2011,mins,12
C1P9008,m,mel,26,2011,mins,13
C2L6847,m,mel,25,2011,mins,13
C2V0040,m,cont,25,2011,mins,13
C1P9008,m,mel,37,2011,mins,14
C2H6942,m,cont,27,2011,mins,14
C2L6833,m,mel,17,2011,mins,14
C2L6938,m,cont,29,2011,mins,14
C2V0034,m,mel,20,2011,mins,14
C2V1002,m,cont,18,2011,mins,14
C2V1018,m,cont,40,2011,mins,14
C1P9008,m,mel,34,2011,mins,15
C2H6942,m,cont,28,2011,mins,15
C2L6833,m,mel,30,2011,mins,15
C2L6935,m,cont,32,2011,mins,15
C2V1002,m,cont,16,2011,mins,15
C2V1004,m,mel,35,2011,mins,15
C2V1005,m,cont,21,2011,mins,15
C2V1005,m,cont,24,2011,mins,15
C1P9008,m,mel,21,2011,mins,16
C1P9008,m,mel,31,2011,mins,16
C2L6833,m,mel,33,2011,mins,16
C2L6847,m,mel,20,2011,mins,16
C2L6847,m,mel,24,2011,mins,16
C2L6906,m,cont,21,2011,mins,16
C2L6935,m,cont,23,2011,mins,16
C2L6935,m,cont,34,2011,mins,16
C2V0040,m,cont,17,2011,mins,16
C2V1002,m,cont,20,2011,mins,16
C2V1005,m,cont,26,2011,mins,16
C2V1005,m,cont,35,2011,mins,16
C2V1018,m,cont,34,2011,mins,16
C2V1018,m,cont,38,2011,mins,16
C2L6847,m,mel,29,2011,mins,17
C2L6935,m,cont,16,2011,mins,17
C2L6938,m,cont,21,2011,mins,17
C2V0034,m,mel,19,2011,mins,17
C2V1005,m,cont,23,2011,mins,17
C2V1005,m,cont,32,2011,mins,17
C2V1009,m,mel,19,2011,mins,17
C2V1009,m,mel,29,2011,mins,17
C2L6847,m,mel,31,2011,mins,18
C2L6906,m,cont,30,2011,mins,18
C2L6906,m,cont,32,2011,mins,18
C2L6938,m,cont,24,2011,mins,18
C2L6938,m,cont,25,2011,mins,18
C2L6938,m,cont,26,2011,mins,18
C2V0040,m,cont,28,2011,mins,18
C2V1002,m,cont,25,2011,mins,18
C2V1004,m,mel,31,2011,mins,18
C2V1005,m,cont,30,2011,mins,18
C2H6942,m,cont,19,2011,mins,19
C2L6833,m,mel,20,2011,mins,19
C2L6833,m,mel,26,2011,mins,19
C2L6847,m,mel,19,2011,mins,19
C2L6906,m,cont,22,2011,mins,19
C2L6906,m,cont,26,2011,mins,19
C2L6906,m,cont,28,2011,mins,19
C2L6906,m,cont,33,2011,mins,19
C2L6906,m,cont,34,2011,mins,19
C2L6935,m,cont,24,2011,mins,19
C2L6938,m,cont,33,2011,mins,19
C2V0040,m,cont,26,2011,mins,19
C2V0040,m,cont,27,2011,mins,19
C2V1002,m,cont,29,2011,mins,19
C2V1004,m,mel,23,2011,mins,19
C2V1004,m,mel,24,2011,mins,19
C2V1005,m,cont,29,2011,mins,19
C2V1009,m,mel,26,2011,mins,19
C2V1011,m,cont,38,2011,mins,19
C1P9008,m,mel,39,2011,mins,20
C2L6935,m,cont,20,2011,mins,20
C2L6935,m,cont,25,2011,mins,20
C2L6935,m,cont,31,2011,mins,20
C2L6938,m,cont,22,2011,mins,20
C2L6938,m,cont,23,2011,mins,20
C2L6938,m,cont,30,2011,mins,20
C2L6938,m,cont,32,2011,mins,20
C2V0034,m,mel,24,2011,mins,20
C2V0040,m,cont,18,2011,mins,20
C2V0040,m,cont,30,2011,mins,20
C2V1002,m,cont,24,2011,mins,20
C2V1004,m,mel,26,2011,mins,20
C2V1004,m,mel,28,2011,mins,20
C2V1009,m,mel,20,2011,mins,20
C2V1009,m,mel,27,2011,mins,20
C2V1009,m,mel,34,2011,mins,20
C2V1009,m,mel,38,2011,mins,20
C2V1011,m,cont,34,2011,mins,20
C2V1018,m,cont,31,2011,mins,20
C2H6942,m,cont,20,2011,mins,21
C2L6905,m,mel,17,2011,mins,21
C2L6906,m,cont,27,2011,mins,21
C2L6935,m,cont,26,2011,mins,21
C2V0040,m,cont,23,2011,mins,21
C2V1002,m,cont,30,2011,mins,21
C2V1002,m,cont,33,2011,mins,21
C2V1009,m,mel,28,2011,mins,21
C1P9008,m,mel,30,2011,mins,22
C1P9008,m,mel,38,2011,mins,22
C2L6833,m,mel,19,2011,mins,22
C2L6833,m,mel,34,2011,mins,22
C2L6935,m,cont,33,2011,mins,22
C2V1004,m,mel,25,2011,mins,22
C2V1005,m,cont,37,2011,mins,22
C2V1009,m,mel,33,2011,mins,22
C2V1011,m,cont,31,2011,mins,22
