year,bird ID,male trt,hatch date (April 1 = 1),fledglings,fledgesocialsire,# EP Fledge,Total offspring,cuckolded fledge? (1=Y),flcuckolded,toatl d15 mass,avg d15 nstl ,d15 avg tars,First Egg
2011,C2V1002,cont,64,5,4,1,5,1,1,83.2,16.64,19.72,19
2010,C2L6823,mel,35,7,2,0,2,1,5,114.9,16.414,19.9,17
2010,C1T5232,cont,55,1,0,0,0,1,1,41.6,10.4,16.65,17
2011,C2V1004,mel,33,5,4,2,6,1,1,95.6,18.52,20.04,15
2011,C2L6906,cont,31,14,10,0,10,1,4,136.3,17.038,19.413,10
2010,C2L6833,mel,48,4,4,0,4,0,0,68.45,17.113,19.525,15
2010,C2L6835,cont,70,8,8,0,8,0,0,127.6,15.95,19.475,21
2011,C2V1005,cont,36,7,7,0,7,0,0,96,13.714,18.629,15
2011,C1P9008,mel,35,6,5,3,8,1,1,103.5,17.25,19.717,14
2011,C2H6942,cont,54,6,6,0,6,0,0,91.3,15.217,18.933,14
2011,C2V1009,mel,37,6,3,0,3,1,3,104.7,14.957,19.243,18
2010,C2L6847,cont,49,6,6,0,6,0,0,100,16.667,19.95,31
2011,C2L6847,mel,33,9,9,0,9,0,0,146.2,16.244,19.789,13
2011,C2V1010,cont,33,7,7,0,7,0,0,127.2,18.171,20.257,13
2010,C2L6849,mel,2 nests failed,0,,0,0,,,,,,24
2011,C2V1011,cont,45,7,6,0,6,1,1,122.5,17.5,19.829,29
2011,C2V1012,mel,33,7,7,0,7,0,0,123.9,17.7,19.671,13
2011,C2V1016,mel,34,7,2,0,2,1,5,112.7,16.1,19.286,13
2011,C2V1018,cont,33,6,6,0,6,0,0,95.5,15.917,19.55,11
