plot #,bird id,sex,treatment,march.date,YEAR,diffSunrise,units
118,C2H6942,m,cont,19,2011,-6.113815991,mins
119,C2H6942,m,cont,20,2011,-13.08130486,mins
122,C2H6942,m,cont,27,2011,-21.83050062,mins
123,C2H6942,m,cont,28,2011,-5.797483655,mins
310,C2L6906,m,cont,21,2011,-29.04693811,mins
311,C2L6906,m,cont,22,2011,-25.01123085,mins
312,C2L6906,m,cont,26,2011,-19.86523911,mins
313,C2L6906,m,cont,27,2011,-6.830500619,mins
314,C2L6906,m,cont,28,2011,-0.797483655,mins
316,C2L6906,m,cont,30,2011,-25.73864948,mins
323,C2L6906,m,cont,32,2011,-13.69281315,mins
324,C2L6906,m,cont,33,2011,-14.67604762,mins
320,C2L6906,m,cont,34,2011,-32.66406878,mins
326,C2L6906,m,cont,35,2011,-15.65739287,mins
308,C2L6906,m,cont,40,2011,-35.72180935,mins
309,C2L6906,m,cont,41,2011,-40.75794665,mins
203,C2L6933,m,cont,30,2011,-3.73864948,mins
204,C2L6933,m,cont,31,2011,-11.71385124,mins
418,C2L6935,m,cont,16,2011,-24.19502873,mins
419,C2L6935,m,cont,17,2011,-14.17119931,mins
422,C2L6935,m,cont,20,2011,-25.08130486,mins
423,C2L6935,m,cont,23,2011,-27.97469631,mins
424,C2L6935,m,cont,24,2011,-32.93784609,mins
425,C2L6935,m,cont,25,2011,-27.90119055,mins
426,C2L6935,m,cont,26,2011,-30.86523911,mins
430,C2L6935,m,cont,31,2011,-25.71385124,mins
431,C2L6935,m,cont,32,2011,-29.69281315,mins
432,C2L6935,m,cont,33,2011,-31.67604762,mins
433,C2L6935,m,cont,34,2011,-32.66406878,mins
434,C2L6935,m,cont,38,2011,-33.6743826,mins
435,C2L6935,m,cont,39,2011,-36.694133,mins
244,C2L6938,m,cont,21,2011,-23.04693811,mins
245,C2L6938,m,cont,22,2011,-32.01123085,mins
246,C2L6938,m,cont,23,2011,-35.97469631,mins
247,C2L6938,m,cont,24,2011,-29.93784609,mins
248,C2L6938,m,cont,25,2011,-30.90119055,mins
249,C2L6938,m,cont,26,2011,-31.86523911,mins
250,C2L6938,m,cont,27,2011,-33.83050062,mins
251,C2L6938,m,cont,28,2011,-25.79748365,mins
252,C2L6938,m,cont,29,2011,-26.76669691,mins
253,C2L6938,m,cont,30,2011,-15.73864948,mins
255,C2L6938,m,cont,32,2011,-42.69281315,mins
256,C2L6938,m,cont,33,2011,-37.67604762,mins
243,C2L6938,m,cont,43,2011,-15.85776497,mins
345,C2V0040,m,cont,17,2011,-17.17119931,mins
346,C2V0040,m,cont,18,2011,-13.14395412,mins
349,C2V0040,m,cont,23,2011,-28.97469631,mins
351,C2V0040,m,cont,25,2011,-29.90119055,mins
352,C2V0040,m,cont,26,2011,-27.86523911,mins
353,C2V0040,m,cont,27,2011,-19.83050062,mins
354,C2V0040,m,cont,28,2011,-6.797483655,mins
356,C2V0040,m,cont,30,2011,-33.73864948,mins
370,C2V1002,m,cont,16,2011,-20.19502873,mins
369,C2V1002,m,cont,18,2011,-14.14395412,mins
374,C2V1002,m,cont,20,2011,-26.08130486,mins
376,C2V1002,m,cont,24,2011,-26.93784609,mins
377,C2V1002,m,cont,25,2011,-24.90119055,mins
378,C2V1002,m,cont,26,2011,-31.86523911,mins
380,C2V1002,m,cont,29,2011,-30.76669691,mins
381,C2V1002,m,cont,30,2011,-33.73864948,mins
383,C2V1002,m,cont,32,2011,-32.69281315,mins
384,C2V1002,m,cont,33,2011,-34.67604762,mins
387,C2V1002,m,cont,39,2011,-29.694133,mins
3,C2V1005,m,cont,21,2011,-30.04693811,mins
4,C2V1005,m,cont,22,2011,-29.01123085,mins
5,C2V1005,m,cont,23,2011,-28.97469631,mins
6,C2V1005,m,cont,24,2011,-30.93784609,mins
7,C2V1005,m,cont,25,2011,-30.90119055,mins
8,C2V1005,m,cont,26,2011,-31.86523911,mins
9,C2V1005,m,cont,27,2011,-34.83050062,mins
10,C2V1005,m,cont,28,2011,-43.79748365,mins
11,C2V1005,m,cont,29,2011,-23.76669691,mins
12,C2V1005,m,cont,30,2011,-39.73864948,mins
13,C2V1005,m,cont,31,2011,-33.71385124,mins
14,C2V1005,m,cont,32,2011,-34.69281315,mins
15,C2V1005,m,cont,33,2011,-37.67604762,mins
17,C2V1005,m,cont,35,2011,-25.65739287,mins
18,C2V1005,m,cont,36,2011,-32.65653849,mins
19,C2V1005,m,cont,37,2011,-35.66202697,mins
20,C2V1005,m,cont,38,2011,-34.6743826,mins
1,C2V1005,m,cont,40,2011,-46.72180935,mins
2,C2V1005,m,cont,41,2011,-39.75794665,mins
180,C2V1011,m,cont,31,2011,-25.71385124,mins
181,C2V1011,m,cont,32,2011,-9.692813154,mins
182,C2V1011,m,cont,33,2011,-32.67604762,mins
183,C2V1011,m,cont,34,2011,-33.66406878,mins
184,C2V1011,m,cont,38,2011,-41.6743826,mins
176,C2V1011,m,cont,40,2011,-45.72180935,mins
