DNA ID,year,bird ID,Alleles tested,SEX,male trt,male imp date (march 1 = 1),female trt,age,NEST BOX,nest attempt,hatch date (April 1 = 1),fledglings,at least 1 genetic in nest?,toatl d15 mass,avg d15 nstl ,d15 avg tars,fledgesocialsire,Prop of fledge by social sire,# EP Fledge,Total offspring,cuckolded fledge? (1=Y),number cuckolded fledge,Prop fledge EP sire,First Egg
24,2011,C1P9008,,M,mel,17,cont,adult,40,1,35,6,1,103.5,17.25,19.717,5,0.8333,3,8,1,1,0.1667,14
14,2010,C1T5232,,M,cont,17,cont,adult,S90,2,55,1,1,41.6,10.4,16.65,0,0,0,0,1,1,1,17
27,2011,C2H6942,,M,cont,17,cont,adult,34,2,54,6,1,91.3,15.217,18.933,6,1,0,6,0,0,0,14
8,2010,C2L6823,,M,mel,16,cont,adult,S39,1,35,7,1,114.9,16.414,19.9,2,0.2857,0,2,1,5,0.7143,17
18,2010,C2L6833,,M,mel,18,cont,adult,S27,2,48,4,1,68.45,17.113,19.525,4,1,0,4,0,0,0,15
20,2010,C2L6835,,M,cont,18,mel,adult,S17,2,70,8,1,127.6,15.95,19.475,8,1,0,8,0,0,0,21
31,2010,C2L6847,,M,cont,30,cont,adult,S99,1,49,6,1,100,16.667,19.95,6,1,0,6,0,0,0,31
31,2011,C2L6847,,M,mel,17,cont,adult,94,1,33,9,1,146.2,16.244,19.789,9,1,0,9,0,0,0,13
33,2010,C2L6849,,M,mel,30,mel,adult,S97,,2 nests failed,0,,,,,0,,0,0,,,,24
16,2011,C2L6906,,M,cont,16,cont,adult,51,1,31,14,1,136.3,17.038,19.413,10,0.7143,0,10,1,4,0.2857,10
7,2011,C2V1002,,M,cont,15,cont,adult,17,2,64,5,1,83.2,16.64,19.72,4,0.8,1,5,1,1,0.2,19
15,2011,C2V1004,,M,mel,16,mel,adult,42,1,33,5,1,95.6,18.52,20.04,4,0.8,2,6,1,1,0.2,15
21,2011,C2V1005,,M,cont,16,mel,adult,44,1,36,7,1,96,13.714,18.629,7,1,0,7,0,0,0,15
28,2011,C2V1009,,M,mel,17,mel,adult,70,1,37,6,1,104.7,14.957,19.243,3,0.5,0,3,1,3,0.5,18
32,2011,C2V1010,,M,cont,21,mel,adult,1,1,33,7,1,127.2,18.171,20.257,7,1,0,7,0,0,0,13
34,2011,C2V1011,,M,cont,21,s. cont,adult,76,1,45,7,1,122.5,17.5,19.829,6,0.8571,0,6,1,1,0.1429,29
36,2011,C2V1012,,M,mel,22,cont,adult,14,1,33,7,1,123.9,17.7,19.671,7,1,0,7,0,0,0,13
41,2011,C2V1016,,M,mel,24,mel,adult,63,1,34,7,1,112.7,16.1,19.286,2,0.2857,0,2,1,5,0.7143,13
43,2011,C2V1018,,M,cont,25,cont,adult,60,1,33,6,1,95.5,15.917,19.55,6,1,0,6,0,0,0,11
